 1	 2	 3	 4	 5	 6	 7	 8	 9	 10	 11	 12
ILMN_3241953	6.921094877732	7.59884385536548	7.01212872515361	6.7744445401856	6.30229615740302	6.33320943645335	6.20684420057339	6.26903793535704	6.21547697650551	6.44636813909202	6.00245545369839	6.69260744922355
ILMN_1735045	8.5654828335537	8.06838301492142	7.73215519644484	7.84321490084718	8.41147026711331	7.76615052942103	7.15822337955483	7.92018533620144	8.59093706899028	7.87381549045797	8.12140869936075	8.1165683941684
ILMN_1755321	5.87137226648649	5.83474263356486	6.07237338959603	5.61196045010472	5.8200770679902	5.69267775689415	5.87761476275454	5.67715889866339	5.7121160607946	5.69267775689415	5.45837578137296	5.81233141386548
ILMN_1698554	6.44720636940733	6.38138990913461	6.13040131084751	6.42138233471399	6.110519974943	6.38982902196696	5.97191437653634	6.2378056766531	6.45276436287334	6.54629266102427	6.39539199664906	6.37086721950855
ILMN_2061446	7.90333913769573	7.97317733415793	8.56996142484171	7.93561025245593	8.03219498230515	7.79456769439053	8.65301619608339	9.1469429667563	7.36496943389947	8.07226401183006	8.43422318485456	7.54438464511997
ILMN_1676336	7.53957984075647	7.18091122582583	7.97389845050378	6.88053673856463	6.94037015058704	7.37886862003757	8.68417860879147	8.80694875050604	6.59988491997156	7.47620754578849	8.13046647391143	6.82744610232622
ILMN_1726986	7.47708071646567	7.31180118782438	7.20016458619652	7.23686422387963	7.27582681634554	7.62189934704797	6.90153344457079	7.14956632419948	6.90916562605171	7.60917317912087	7.16115361516157	7.24532085178043
ILMN_3237396	7.35688766356526	7.46087248179203	7.85081565722984	8.00252596577297	8.13384500577461	7.81697603758297	7.95736320858118	7.51717106510008	7.90699181711369	7.67600663394542	7.74599406883986	7.59922893185072
ILMN_1688755	5.57838195472275	5.87427754381268	6.35720356330803	5.76662062363419	6.03990044121858	5.672960660248	6.32284807851332	5.69084302723922	5.39202360843977	5.44793878585838	5.38842596665954	5.28860618895116
ILMN_1653165	8.33787796392624	8.19321123189182	8.46027634927347	8.34300788387391	8.33982427753378	8.25537860400269	8.54262740668939	8.40111164024878	8.14749757827089	8.16693037890349	8.23754861046935	8.38920127064081
ILMN_1662364	11.8300533171971	11.1805635474236	11.2270718758175	9.99812150961545	11.1169075567098	12.0694953074894	10.8631191486049	10.2172707169962	11.1140523550984	11.4198953723531	11.1619731610329	11.3110110805194
ILMN_1674698	7.07980081935727	6.8107585966783	7.17095036303411	7.1513188107725	7.00372587750065	6.72776934013556	7.55804511206038	6.92065711627251	7.45998807731838	6.86903945389068	6.83113638219285	7.023081189823
ILMN_1700461	8.16612519285144	7.89700185885001	8.18013972531866	7.63711381657621	7.73890453058927	8.27781550574498	8.03819154862435	8.43832892125042	7.83373844050614	7.83050605478592	7.91017093423611	7.94676632085243
ILMN_1784269	6.81555127692782	7.04258494604574	6.53144809839135	6.9125034404485	6.91198689265326	7.12106080569057	6.44370882207553	5.54087614176763	6.52139023182113	6.53059500589282	6.56095114578916	6.54646000687543
ILMN_1698189	7.68030710840652	7.52115007318466	7.36994914207994	7.5332190577907	7.60319333051834	7.38252984085494	7.69437946330213	7.30197904884652	7.26637996186522	7.48038144483511	7.68545359350107	7.23975092255873
ILMN_2096191	8.43983374787652	8.56506312091739	8.58209432140586	8.69931401506883	8.5458935072614	8.57223844342122	8.50819643555928	8.74009062144833	8.70369798684067	8.64633002439372	8.75301322285677	8.67517105918066
ILMN_1703743	7.79943865889738	8.23231973586874	8.11069834819074	8.07750177015206	7.99544361363606	7.83411102759402	8.01970370813899	8.20801831267664	7.76850149085963	8.02688675485713	7.93392379408307	7.93348789235009
ILMN_1699334	6.66450674751235	6.62656041718445	6.76041244123515	7.30749810191793	6.62930679514292	6.24634105624349	6.46960935714942	6.48038667724578	7.36411668281518	6.97511499392912	6.48473063389855	6.66763785752933
ILMN_1766054	8.08446935977103	9.39721470673604	10.0082871670489	9.48274826695421	9.77149280826328	8.42519148112423	8.79477516096117	7.9803709006818	9.59956896383502	8.65994630730947	9.02111507748938	9.30321688968299
